T,v
4.000010e+03,9.981180e-01
4.000780e+03,9.947580e-01
4.000820e+03,9.884310e-01
4.001020e+03,9.991910e-01
4.001360e+03,9.915110e-01
4.001400e+03,9.768530e-01
4.001440e+03,9.808820e-01
4.001470e+03,9.565530e-01
4.001490e+03,9.241210e-01
4.001500e+03,9.225420e-01
4.001540e+03,9.778940e-01
4.001610e+03,9.951630e-01
4.001860e+03,9.934500e-01
4.001900e+03,9.913200e-01
4.002070e+03,9.952510e-01
4.002150e+03,9.741320e-01
4.002190e+03,9.279190e-01
4.002200e+03,9.274970e-01
4.002230e+03,9.676770e-01
4.002300e+03,9.928380e-01
4.002360e+03,9.852650e-01
4.002380e+03,9.722950e-01
4.002430e+03,9.947960e-01
4.002820e+03,9.952250e-01
4.002920e+03,9.844390e-01
4.002970e+03,9.875640e-01
4.003110e+03,9.962530e-01
4.003200e+03,9.978350e-01
4.004060e+03,9.944760e-01
4.004100e+03,9.938760e-01
4.004400e+03,9.964970e-01
4.004940e+03,9.946320e-01
4.006030e+03,9.956060e-01
4.006100e+03,9.750230e-01
4.006150e+03,9.954740e-01
4.006570e+03,9.947440e-01
4.006610e+03,9.768240e-01
4.006670e+03,9.970190e-01
4.008240e+03,9.950250e-01
4.008280e+03,9.891630e-01
4.008430e+03,9.984050e-01
4.008570e+03,9.983660e-01
4.009740e+03,9.941600e-01
4.009780e+03,9.812210e-01
4.009800e+03,9.622750e-01
4.009820e+03,9.734630e-01
4.009860e+03,9.923320e-01
4.009980e+03,9.917870e-01
4.010040e+03,9.892800e-01
4.010070e+03,9.824710e-01
4.010130e+03,9.955890e-01
4.010210e+03,9.952780e-01
4.010300e+03,9.899130e-01
4.010330e+03,9.868550e-01
4.010410e+03,9.985300e-01
4.010760e+03,9.948910e-01
4.010890e+03,9.931160e-01
4.011020e+03,9.926220e-01
4.011050e+03,9.858340e-01
4.011130e+03,9.979410e-01
4.011390e+03,9.933770e-01
4.011440e+03,9.713350e-01
4.011490e+03,9.952670e-01
4.012340e+03,9.946950e-01
4.012530e+03,9.933810e-01
4.012630e+03,9.929680e-01
4.012660e+03,9.871640e-01
4.012810e+03,9.994010e-01
4.013380e+03,9.923760e-01
4.013530e+03,9.957600e-01
4.013600e+03,9.864760e-01
4.013630e+03,9.660820e-01
4.013670e+03,9.918850e-01
4.014090e+03,9.994930e-01
4.014240e+03,9.930860e-01
4.014400e+03,9.962520e-01
4.014440e+03,9.887240e-01
4.014520e+03,9.979250e-01
4.014650e+03,9.901830e-01
4.014690e+03,9.773270e-01
4.014740e+03,9.949590e-01
4.014900e+03,9.967150e-01
4.015860e+03,9.955900e-01
4.016050e+03,9.924860e-01
4.016080e+03,9.860170e-01
4.016160e+03,9.981410e-01
4.016270e+03,9.908110e-01
4.016570e+03,9.976200e-01
4.016760e+03,9.954080e-01
4.016920e+03,9.950750e-01
4.016960e+03,9.911780e-01
4.017050e+03,9.936700e-01
4.017090e+03,9.849460e-01
