T,v
4.000010e+03,1.000000e+00
4.154190e+03,9.959550e-01
4.159530e+03,9.956640e-01
4.159570e+03,9.909870e-01
4.159710e+03,9.997830e-01
4.164800e+03,9.960210e-01
4.164840e+03,9.813920e-01
4.164900e+03,9.981950e-01
4.170010e+03,9.948850e-01
4.170050e+03,9.729980e-01
4.170110e+03,9.968240e-01
4.175140e+03,9.957300e-01
4.175180e+03,9.789910e-01
4.175200e+03,9.601020e-01
4.175240e+03,9.912410e-01
4.175480e+03,9.997770e-01
4.180210e+03,9.953280e-01
4.180250e+03,9.813790e-01
4.180280e+03,9.439240e-01
4.180320e+03,9.871050e-01
4.180430e+03,9.988730e-01
4.185210e+03,9.951140e-01
4.185260e+03,9.766750e-01
4.185290e+03,9.248140e-01
4.185300e+03,9.292010e-01
4.185320e+03,9.685810e-01
4.185350e+03,9.900910e-01
4.185590e+03,9.995820e-01
4.187490e+03,9.943800e-01
4.189420e+03,9.999120e-01
4.190150e+03,9.938780e-01
4.190190e+03,9.818080e-01
4.190210e+03,9.596580e-01
4.190230e+03,9.084990e-01
4.190240e+03,8.981670e-01
4.190270e+03,9.659230e-01
4.190300e+03,9.882710e-01
4.190490e+03,9.991350e-01
4.190750e+03,9.980090e-01
4.193840e+03,9.961080e-01
4.195000e+03,9.944910e-01
4.195060e+03,9.810240e-01
4.195080e+03,9.614330e-01
4.195090e+03,9.410160e-01
4.195110e+03,8.747470e-01
4.195120e+03,8.704280e-01
4.195140e+03,9.355630e-01
4.195160e+03,9.716600e-01
4.195210e+03,9.926640e-01
4.196140e+03,9.999200e-01
4.196930e+03,9.949740e-01
4.199790e+03,9.951590e-01
4.199860e+03,9.810380e-01
4.199880e+03,9.647330e-01
4.199890e+03,9.486290e-01
4.199900e+03,9.219390e-01
4.199920e+03,8.396830e-01
4.199930e+03,8.361050e-01
4.199950e+03,9.140280e-01
4.199970e+03,9.593790e-01
4.199990e+03,9.787990e-01
4.200000e+03,1.000000e+00
4.200010e+03,9.873300e-01
4.200220e+03,9.989210e-01
4.203090e+03,9.998470e-01
4.204540e+03,9.931290e-01
4.204600e+03,9.772380e-01
4.204620e+03,9.583030e-01
4.204630e+03,9.399100e-01
4.204640e+03,9.097110e-01
4.204660e+03,8.111660e-01
4.204670e+03,7.972260e-01
4.204680e+03,8.377570e-01
4.204690e+03,8.902630e-01
