T,v
4.000010e+03,9.989260e-01
4.011700e+03,9.952750e-01
4.013000e+03,9.947910e-01
4.013060e+03,9.938460e-01
4.014120e+03,9.993550e-01
4.014270e+03,9.896030e-01
4.014310e+03,9.881530e-01
4.014440e+03,9.991480e-01
4.015450e+03,9.941930e-01
4.015510e+03,9.814990e-01
4.015590e+03,9.977610e-01
4.016600e+03,9.936130e-01
4.016660e+03,9.750590e-01
4.016720e+03,9.954890e-01
4.017690e+03,9.946830e-01
4.017760e+03,9.698640e-01
4.017820e+03,9.946140e-01
4.018730e+03,9.951980e-01
4.018780e+03,9.790280e-01
4.018810e+03,9.660600e-01
4.018860e+03,9.923310e-01
4.019390e+03,9.995000e-01
4.019740e+03,9.927870e-01
4.019800e+03,9.617450e-01
4.019860e+03,9.927610e-01
4.020280e+03,9.996370e-01
4.020680e+03,9.932240e-01
4.020720e+03,9.759340e-01
4.020740e+03,9.605340e-01
4.020800e+03,9.918950e-01
4.021280e+03,9.995540e-01
4.021580e+03,9.912180e-01
4.021630e+03,9.603890e-01
4.021690e+03,9.917680e-01
4.022100e+03,9.994870e-01
4.022410e+03,9.929750e-01
4.022450e+03,9.748400e-01
4.022470e+03,9.606940e-01
4.022530e+03,9.926310e-01
4.023100e+03,9.986950e-01
4.023210e+03,9.898940e-01
4.023260e+03,9.636920e-01
4.023310e+03,9.920590e-01
4.023750e+03,9.993430e-01
4.023940e+03,9.912390e-01
4.023990e+03,9.661390e-01
4.024040e+03,9.923040e-01
4.024500e+03,9.990110e-01
4.024630e+03,9.889700e-01
4.024670e+03,9.698250e-01
4.024730e+03,9.949060e-01
4.025240e+03,9.942680e-01
4.025300e+03,9.751520e-01
4.025360e+03,9.960390e-01
4.025820e+03,9.940690e-01
4.025870e+03,9.779620e-01
4.025940e+03,9.971180e-01
4.026350e+03,9.932690e-01
4.026390e+03,9.817170e-01
4.026470e+03,9.980060e-01
4.026820e+03,9.940800e-01
4.026860e+03,9.856420e-01
4.026960e+03,9.988340e-01
4.027240e+03,9.943170e-01
4.027280e+03,9.898880e-01
4.027430e+03,9.994050e-01
4.027650e+03,9.938280e-01
4.027920e+03,9.952430e-01
4.559410e+03,9.950540e-01
4.561010e+03,9.957470e-01
4.562620e+03,9.947930e-01
4.564210e+03,9.965160e-01
4.564270e+03,9.951640e-01
4.565820e+03,9.950440e-01
4.565870e+03,9.942960e-01
4.567370e+03,9.987970e-01
4.567460e+03,9.921820e-01
4.567740e+03,9.998390e-01
4.569010e+03,9.951170e-01
4.569060e+03,9.933540e-01
4.569710e+03,9.999510e-01
4.570610e+03,9.938820e-01
4.571940e+03,9.998890e-01
4.572210e+03,9.923520e-01
4.572620e+03,9.998460e-01
4.573790e+03,9.946700e-01
4.575370e+03,9.962140e-01
4.591110e+03,9.958310e-01
4.594910e+03,9.949000e-01
4.596160e+03,9.955060e-01
4.597390e+03,9.951420e-01
4.598090e+03,9.944450e-01
4.598600e+03,9.961490e-01
4.598660e+03,9.952960e-01
4.599620e+03,9.949230e-01
4.599680e+03,9.910400e-01
4.599820e+03,9.926350e-01
4.600360e+03,9.997440e-01
4.601010e+03,9.936790e-01
4.601050e+03,9.891180e-01
4.601150e+03,9.954440e-01
4.601210e+03,9.848280e-01
4.601320e+03,9.986970e-01
4.602190e+03,9.944470e-01
4.602230e+03,9.866550e-01
4.602340e+03,9.987450e-01
4.602710e+03,9.920710e-01
4.602750e+03,9.805170e-01
4.602840e+03,9.979050e-01
4.603360e+03,9.934310e-01
4.603410e+03,9.834270e-01
4.603490e+03,9.981330e-01
4.604230e+03,9.940150e-01
4.604290e+03,9.736710e-01
4.604360e+03,9.956800e-01
4.604530e+03,9.918190e-01
4.604570e+03,9.832890e-01
4.604650e+03,9.981130e-01
4.605660e+03,9.943820e-01
4.605720e+03,9.782120e-01
4.605770e+03,9.897110e-01
4.605830e+03,9.731620e-01
4.605890e+03,9.948910e-01
4.606790e+03,9.956830e-01
4.606860e+03,9.763910e-01
4.606930e+03,9.962480e-01
4.607300e+03,9.933630e-01
4.607360e+03,9.702740e-01
4.607420e+03,9.944620e-01
4.607930e+03,9.941410e-01
4.607990e+03,9.762090e-01
4.608050e+03,9.960530e-01
4.608820e+03,9.949370e-01
4.608870e+03,9.773840e-01
4.608890e+03,9.682330e-01
4.608950e+03,9.932730e-01
4.609060e+03,9.893140e-01
4.609100e+03,9.709480e-01
4.609160e+03,9.946750e-01
4.610130e+03,9.951280e-01
4.610180e+03,9.799640e-01
4.610210e+03,9.678280e-01
4.610260e+03,9.922830e-01
4.610370e+03,9.906410e-01
4.610420e+03,9.678860e-01
4.610480e+03,9.939520e-01
4.611220e+03,9.959250e-01
4.611270e+03,9.826890e-01
4.611300e+03,9.651250e-01
4.611360e+03,9.938960e-01
4.611870e+03,9.952960e-01
4.611920e+03,9.792580e-01
4.611940e+03,9.682550e-01
4.612000e+03,9.937860e-01
4.612310e+03,9.945630e-01
4.612360e+03,9.750110e-01
4.612380e+03,9.613240e-01
4.612440e+03,9.925970e-01
4.613150e+03,9.988980e-01
4.613390e+03,9.891140e-01
4.613420e+03,9.733140e-01
4.613450e+03,9.351590e-01
4.613460e+03,9.327640e-01
4.613500e+03,9.781910e-01
4.613570e+03,9.957330e-01
4.614430e+03,9.946120e-01
4.614480e+03,9.796390e-01
4.614510e+03,9.543360e-01
4.614570e+03,9.909840e-01
4.614880e+03,9.974460e-01
4.614950e+03,9.873960e-01
4.614980e+03,9.722060e-01
4.615050e+03,9.957610e-01
4.615480e+03,9.943390e-01
4.615530e+03,9.764200e-01
4.615560e+03,9.507230e-01
4.615610e+03,9.878450e-01
4.615780e+03,9.988280e-01
4.616440e+03,9.929830e-01
4.616500e+03,9.723730e-01
4.616540e+03,9.828880e-01
4.616570e+03,9.687210e-01
4.616590e+03,9.479410e-01
4.616600e+03,9.466440e-01
4.616640e+03,9.834240e-01
4.616740e+03,9.974690e-01
4.617540e+03,9.934680e-01
4.617590e+03,9.737700e-01
4.617620e+03,9.426750e-01
4.617640e+03,9.589220e-01
4.617670e+03,9.848450e-01
4.617790e+03,9.978340e-01
4.617970e+03,9.906110e-01
4.618010e+03,9.786890e-01
4.618080e+03,9.963230e-01
4.618550e+03,9.937680e-01
4.618600e+03,9.761580e-01
4.618630e+03,9.422560e-01
4.618640e+03,9.416570e-01
4.618680e+03,9.822910e-01
4.618770e+03,9.971400e-01
4.619460e+03,9.936950e-01
4.619520e+03,9.800070e-01
4.619570e+03,9.863490e-01
4.619610e+03,9.637590e-01
4.619630e+03,9.383530e-01
4.619640e+03,9.355180e-01
4.619680e+03,9.792170e-01
4.619750e+03,9.956310e-01
4.620530e+03,9.942980e-01
4.620590e+03,9.752370e-01
4.620620e+03,9.384160e-01
4.620630e+03,9.346890e-01
4.620670e+03,9.787300e-01
4.620740e+03,9.954620e-01
4.620980e+03,9.921880e-01
4.621020e+03,9.849950e-01
4.621110e+03,9.982210e-01
4.621510e+03,9.914430e-01
4.621560e+03,9.792970e-01
4.621600e+03,9.340970e-01
4.621610e+03,9.314910e-01
4.621650e+03,9.778260e-01
4.621720e+03,9.953940e-01
4.622450e+03,9.937530e-01
4.622540e+03,9.648230e-01
4.622570e+03,9.290960e-01
4.622580e+03,9.303030e-01
4.622620e+03,9.781670e-01
4.622690e+03,9.939050e-01
4.623420e+03,9.946260e-01
4.623480e+03,9.812260e-01
4.623510e+03,9.508270e-01
4.623530e+03,9.279110e-01
4.623550e+03,9.491690e-01
4.623580e+03,9.806660e-01
4.623670e+03,9.964960e-01
4.623990e+03,9.897450e-01
4.624220e+03,9.984740e-01
4.624400e+03,9.889710e-01
4.624440e+03,9.662880e-01
4.624470e+03,9.255850e-01
4.624480e+03,9.263740e-01
4.624520e+03,9.766830e-01
4.624590e+03,9.949320e-01
4.625310e+03,9.930470e-01
4.625360e+03,9.781600e-01
4.625400e+03,9.297230e-01
4.625410e+03,9.258430e-01
4.625450e+03,9.722130e-01
4.625560e+03,9.923120e-01
4.626050e+03,9.971600e-01
4.626260e+03,9.873040e-01
4.626300e+03,9.606550e-01
4.626320e+03,9.319270e-01
4.626330e+03,9.263800e-01
4.626380e+03,9.801860e-01
4.626470e+03,9.961500e-01
4.626960e+03,9.935370e-01
4.627160e+03,9.889900e-01
4.627200e+03,9.711610e-01
4.627230e+03,9.323130e-01
4.627240e+03,9.266320e-01
4.627290e+03,9.785110e-01
4.627380e+03,9.959930e-01
4.628030e+03,9.933940e-01
4.628090e+03,9.744400e-01
4.628130e+03,9.304980e-01
4.628140e+03,9.279050e-01
4.628180e+03,9.743240e-01
4.628240e+03,9.933680e-01
4.628910e+03,9.944650e-01
4.628970e+03,9.810920e-01
4.629000e+03,9.532630e-01
4.629020e+03,9.283500e-01
4.629030e+03,9.298540e-01
4.629070e+03,9.764550e-01
4.629140e+03,9.946770e-01
4.629800e+03,9.930500e-01
4.629850e+03,9.789490e-01
4.629900e+03,9.287850e-01
4.629930e+03,9.594420e-01
4.629970e+03,9.868670e-01
4.630160e+03,9.984450e-01
4.630680e+03,9.906710e-01
4.630720e+03,9.750960e-01
4.630760e+03,9.342290e-01
4.630780e+03,9.483800e-01
4.630810e+03,9.786080e-01
4.630890e+03,9.956480e-01
4.631510e+03,9.932890e-01
4.631570e+03,9.771010e-01
4.631610e+03,9.395130e-01
4.631630e+03,9.474780e-01
4.631670e+03,9.821750e-01
4.631770e+03,9.968630e-01
4.632360e+03,9.934090e-01
4.632420e+03,9.736090e-01
4.632450e+03,9.457250e-01
4.632470e+03,9.524580e-01
4.632510e+03,9.842380e-01
4.632620e+03,9.963440e-01
4.633200e+03,9.926640e-01
4.633250e+03,9.748400e-01
4.633280e+03,9.497390e-01
4.633300e+03,9.566370e-01
4.633350e+03,9.881460e-01
4.633560e+03,9.987030e-01
4.634030e+03,9.912070e-01
4.634080e+03,9.676000e-01
4.634100e+03,9.544610e-01
4.634170e+03,9.903170e-01
4.634650e+03,9.986280e-01
4.634860e+03,9.856100e-01
4.634910e+03,9.600170e-01
4.634970e+03,9.901710e-01
4.635300e+03,9.989960e-01
4.635640e+03,9.914900e-01
4.635710e+03,9.669060e-01
4.635770e+03,9.895630e-01
4.636060e+03,9.991690e-01
4.636430e+03,9.915460e-01
4.636490e+03,9.729730e-01
4.636560e+03,9.947560e-01
4.637190e+03,9.947180e-01
4.637260e+03,9.790690e-01
4.637350e+03,9.971040e-01
4.637970e+03,9.943520e-01
4.638030e+03,9.877520e-01
4.638180e+03,9.992120e-01
4.638740e+03,9.934970e-01
4.638810e+03,9.954680e-01
4.640200e+03,9.951530e-01
4.640890e+03,9.944900e-01
4.640950e+03,9.870900e-01
4.641090e+03,9.990300e-01
4.641580e+03,9.936250e-01
4.641650e+03,9.764220e-01
4.641730e+03,9.963500e-01
4.642260e+03,9.940010e-01
4.642330e+03,9.716920e-01
4.642410e+03,9.949920e-01
4.642930e+03,9.938850e-01
4.642990e+03,9.724850e-01
4.643020e+03,9.685040e-01
4.643080e+03,9.929690e-01
4.643490e+03,9.957510e-01
4.643620e+03,9.875950e-01
4.643680e+03,9.595090e-01
4.643740e+03,9.905420e-01
4.644090e+03,9.984640e-01
4.644270e+03,9.878360e-01
4.644330e+03,9.522850e-01
4.644390e+03,9.864000e-01
4.644620e+03,9.985070e-01
4.644900e+03,9.903040e-01
4.644940e+03,9.727870e-01
4.644970e+03,9.474060e-01
4.644990e+03,9.566850e-01
4.645030e+03,9.854790e-01
4.645180e+03,9.977050e-01
4.645530e+03,9.898870e-01
4.645570e+03,9.720010e-01
4.645600e+03,9.431120e-01
4.645620e+03,9.509220e-01
4.645660e+03,9.837280e-01
4.645780e+03,9.972940e-01
4.646140e+03,9.908460e-01
4.646190e+03,9.684220e-01
4.646220e+03,9.353290e-01
4.646240e+03,9.441890e-01
4.646280e+03,9.817490e-01
4.646380e+03,9.964200e-01
4.646740e+03,9.922160e-01
4.646790e+03,9.759360e-01
4.646830e+03,9.336030e-01
4.646850e+03,9.442680e-01
4.646880e+03,9.764330e-01
4.646950e+03,9.940340e-01
4.647330e+03,9.928870e-01
4.647390e+03,9.729950e-01
4.647430e+03,9.290400e-01
4.647450e+03,9.457370e-01
4.647480e+03,9.775960e-01
4.647560e+03,9.950290e-01
4.647910e+03,9.923490e-01
4.647970e+03,9.737000e-01
4.648010e+03,9.285440e-01
4.648020e+03,9.258520e-01
4.648060e+03,9.729510e-01
4.648120e+03,9.927920e-01
4.648480e+03,9.935810e-01
4.648540e+03,9.782770e-01
4.648570e+03,9.462310e-01
4.648590e+03,9.233240e-01
4.648610e+03,9.435640e-01
4.648640e+03,9.771190e-01
4.648710e+03,9.938360e-01
4.649060e+03,9.914510e-01
4.649110e+03,9.728360e-01
4.649150e+03,9.224300e-01
4.649160e+03,9.249590e-01
4.649200e+03,9.754190e-01
4.649270e+03,9.940650e-01
4.649600e+03,9.920180e-01
4.649660e+03,9.708250e-01
4.649700e+03,9.207270e-01
4.649710e+03,9.231490e-01
4.649750e+03,9.750550e-01
4.649810e+03,9.930750e-01
4.650140e+03,9.927870e-01
4.650200e+03,9.725260e-01
4.650240e+03,9.205480e-01
4.650250e+03,9.243910e-01
4.650280e+03,9.677530e-01
4.650320e+03,9.886260e-01
4.650600e+03,9.964270e-01
4.650710e+03,9.832850e-01
4.650740e+03,9.592780e-01
4.650760e+03,9.277290e-01
4.650770e+03,9.202500e-01
4.650790e+03,9.444980e-01
4.650820e+03,9.784130e-01
4.650900e+03,9.951180e-01
4.651200e+03,9.906340e-01
4.651240e+03,9.756710e-01
4.651280e+03,9.226820e-01
4.651290e+03,9.209090e-01
4.651330e+03,9.737270e-01
4.651390e+03,9.930430e-01
4.651690e+03,9.930300e-01
4.651740e+03,9.794230e-01
4.651770e+03,9.463530e-01
4.651790e+03,9.228990e-01
4.651810e+03,9.469480e-01
4.651840e+03,9.796310e-01
4.651920e+03,9.952830e-01
4.652200e+03,9.905750e-01
4.652240e+03,9.749490e-01
4.652280e+03,9.251360e-01
4.652290e+03,9.291260e-01
4.652320e+03,9.709080e-01
4.652370e+03,9.915760e-01
4.652660e+03,9.937790e-01
4.652720e+03,9.765570e-01
4.652760e+03,9.280780e-01
4.652770e+03,9.312600e-01
4.652800e+03,9.716410e-01
4.652850e+03,9.914880e-01
4.653130e+03,9.939600e-01
4.653190e+03,9.770950e-01
4.653230e+03,9.304650e-01
4.653250e+03,9.489180e-01
4.653280e+03,9.807650e-01
4.653370e+03,9.961140e-01
4.653620e+03,9.894150e-01
4.653660e+03,9.665970e-01
4.653690e+03,9.329070e-01
4.653740e+03,9.828790e-01
4.653850e+03,9.968200e-01
4.654070e+03,9.892030e-01
4.654110e+03,9.641700e-01
4.654130e+03,9.388410e-01
4.654140e+03,9.382120e-01
4.654180e+03,9.809640e-01
4.654260e+03,9.959090e-01
4.654500e+03,9.907860e-01
4.654540e+03,9.712390e-01
4.654570e+03,9.404280e-01
4.654620e+03,9.848840e-01
4.654740e+03,9.972200e-01
4.654930e+03,9.898010e-01
4.654970e+03,9.650290e-01
4.654990e+03,9.444040e-01
4.655010e+03,9.592980e-01
4.655040e+03,9.848800e-01
4.655160e+03,9.973770e-01
4.655340e+03,9.907980e-01
4.655380e+03,9.687910e-01
4.655400e+03,9.487160e-01
4.655420e+03,9.609060e-01
4.655450e+03,9.854710e-01
4.655580e+03,9.974270e-01
4.655750e+03,9.885610e-01
4.655800e+03,9.519530e-01
4.655860e+03,9.900570e-01
4.656100e+03,9.952720e-01
4.656160e+03,9.785500e-01
4.656190e+03,9.552640e-01
4.656240e+03,9.887580e-01
4.656420e+03,9.974710e-01
4.656520e+03,9.881450e-01
4.656570e+03,9.599130e-01
4.656620e+03,9.906380e-01
4.656850e+03,9.953060e-01
4.656900e+03,9.825550e-01
4.656930e+03,9.629820e-01
4.656990e+03,9.927980e-01
4.657220e+03,9.937650e-01
4.657270e+03,9.719210e-01
4.657290e+03,9.682480e-01
4.657340e+03,9.925830e-01
4.657570e+03,9.929970e-01
4.657630e+03,9.710350e-01
4.657680e+03,9.933370e-01
4.657900e+03,9.935780e-01
4.657960e+03,9.739600e-01
4.658020e+03,9.952280e-01
4.658230e+03,9.914980e-01
4.658270e+03,9.754730e-01
4.658340e+03,9.960580e-01
4.658540e+03,9.916190e-01
4.658580e+03,9.787550e-01
4.658650e+03,9.967230e-01
4.658840e+03,9.899850e-01
4.658880e+03,9.822950e-01
4.658950e+03,9.972520e-01
