T,v
4.000010e+03,9.997140e-01
4.000430e+03,9.936920e-01
4.000470e+03,9.836290e-01
4.000550e+03,9.984490e-01
4.001210e+03,9.942990e-01
4.001250e+03,9.776750e-01
4.001270e+03,9.541700e-01
4.001280e+03,9.511060e-01
4.001320e+03,9.877580e-01
4.001450e+03,9.987250e-01
4.002750e+03,9.944510e-01
4.002760e+03,9.862330e-01
4.002810e+03,9.977910e-01
4.002840e+03,9.892790e-01
4.002850e+03,9.689340e-01
4.002860e+03,9.621900e-01
4.002870e+03,9.852850e-01
4.002900e+03,9.967560e-01
4.002940e+03,9.892680e-01
4.002960e+03,9.625430e-01
4.002970e+03,9.679820e-01
4.002990e+03,9.918990e-01
4.003210e+03,9.995520e-01
4.003560e+03,9.948480e-01
4.003570e+03,9.845210e-01
4.003580e+03,9.485930e-01
4.003590e+03,9.583650e-01
4.003600e+03,9.886560e-01
4.003650e+03,9.991020e-01
4.004680e+03,9.958890e-01
4.004710e+03,9.892540e-01
4.004780e+03,9.992350e-01
4.005400e+03,9.929750e-01
4.005450e+03,9.756260e-01
4.005480e+03,9.494780e-01
4.005500e+03,9.554030e-01
4.005540e+03,9.853730e-01
4.005680e+03,9.981240e-01
4.007380e+03,9.919890e-01
4.007490e+03,9.733720e-01
4.007530e+03,9.430380e-01
4.007560e+03,8.849880e-01
4.007580e+03,8.358420e-01
4.007590e+03,8.272830e-01
4.007600e+03,8.372380e-01
4.007640e+03,9.293040e-01
4.007670e+03,9.620120e-01
4.007740e+03,9.847020e-01
4.008070e+03,9.887460e-01
4.008290e+03,9.686460e-01
4.008380e+03,9.358810e-01
4.008430e+03,8.899620e-01
4.008460e+03,8.360570e-01
4.008480e+03,7.776430e-01
4.008500e+03,6.885940e-01
4.008510e+03,6.280560e-01
4.008520e+03,5.550400e-01
4.008550e+03,2.956080e-01
4.008560e+03,2.325260e-01
4.008570e+03,2.029270e-01
4.008580e+03,2.114340e-01
4.008590e+03,2.568450e-01
4.008600e+03,3.312860e-01
4.008620e+03,5.091400e-01
4.008630e+03,5.889220e-01
4.008640e+03,6.563780e-01
4.008650e+03,7.117220e-01
4.008670e+03,7.928120e-01
4.008690e+03,8.461800e-01
4.008720e+03,8.958440e-01
4.008770e+03,9.387310e-01
4.008870e+03,9.718170e-01
4.009160e+03,9.924580e-01
4.010480e+03,9.943750e-01
4.010530e+03,9.836330e-01
4.010620e+03,9.975710e-01
4.011070e+03,9.929550e-01
4.011130e+03,9.795020e-01
4.011220e+03,9.968110e-01
4.011710e+03,9.963050e-01
4.011740e+03,9.929370e-01
4.012300e+03,9.950780e-01
4.012510e+03,9.800720e-01
4.012580e+03,9.524670e-01
4.012610e+03,9.210130e-01
4.012630e+03,8.820960e-01
4.012650e+03,8.162760e-01
4.012680e+03,6.710090e-01
4.012690e+03,6.427600e-01
4.012700e+03,6.462520e-01
4.012710e+03,6.798470e-01
4.012740e+03,8.246980e-01
4.012760e+03,8.871640e-01
4.012790e+03,9.364410e-01
4.012840e+03,9.694970e-01
4.012970e+03,9.907880e-01
4.014030e+03,9.978510e-01
4.014080e+03,9.900020e-01
4.014180e+03,9.990350e-01
4.014440e+03,9.918600e-01
4.014600e+03,9.954620e-01
4.015310e+03,9.941220e-01
4.015380e+03,9.711190e-01
4.015460e+03,9.951910e-01
4.016720e+03,9.961200e-01
4.016740e+03,9.825170e-01
4.016770e+03,9.969820e-01
4.016820e+03,9.929380e-01
4.016960e+03,9.945930e-01
4.017000e+03,9.825130e-01
4.017030e+03,9.572610e-01
4.017090e+03,9.920490e-01
4.017600e+03,9.987240e-01
4.018360e+03,9.903710e-01
4.018440e+03,9.684250e-01
4.018470e+03,9.376640e-01
4.018510e+03,8.607460e-01
4.018520e+03,8.593010e-01
4.018560e+03,9.238640e-01
4.018600e+03,9.696440e-01
4.018670e+03,9.889980e-01
4.019080e+03,9.903760e-01
4.019260e+03,9.698820e-01
4.019330e+03,9.363960e-01
4.019360e+03,9.030680e-01
4.019380e+03,8.654450e-01
4.019400e+03,8.051820e-01
4.019410e+03,7.621930e-01
4.019420e+03,7.081610e-01
4.019450e+03,4.983690e-01
4.019460e+03,4.472690e-01
4.019470e+03,4.322120e-01
4.019480e+03,4.584960e-01
4.019490e+03,5.169850e-01
4.019510e+03,6.619100e-01
4.019520e+03,7.242450e-01
4.019530e+03,7.749620e-01
4.019550e+03,8.464790e-01
4.019580e+03,9.059740e-01
4.019620e+03,9.422200e-01
4.019660e+03,9.490220e-01
4.019690e+03,9.542780e-01
4.019740e+03,9.785130e-01
4.020000e+03,1.000000e+00
4.020200e+03,9.970630e-01
4.020960e+03,9.921320e-01
4.021030e+03,9.713920e-01
4.021080e+03,9.134020e-01
4.021090e+03,9.142360e-01
4.021140e+03,9.722940e-01
4.021210e+03,9.918640e-01
4.022150e+03,9.988640e-01
4.022250e+03,9.948890e-01
4.024760e+03,9.937140e-01
4.025060e+03,9.749540e-01
4.025160e+03,9.442660e-01
4.025210e+03,9.034270e-01
4.025240e+03,8.551420e-01
4.025260e+03,8.025200e-01
4.025280e+03,7.219380e-01
4.025290e+03,6.670350e-01
4.025300e+03,6.008110e-01
4.025330e+03,3.676520e-01
4.025340e+03,3.134610e-01
4.025350e+03,2.926430e-01
4.025360e+03,3.099470e-01
4.025370e+03,3.614330e-01
4.025400e+03,5.940190e-01
4.025410e+03,6.613010e-01
4.025420e+03,7.172430e-01
4.025440e+03,7.994610e-01
4.025460e+03,8.531290e-01
4.025490e+03,9.022900e-01
4.025540e+03,9.437570e-01
4.025640e+03,9.748140e-01
4.025950e+03,9.938660e-01
4.029490e+03,9.951820e-01
4.029650e+03,9.788780e-01
4.029700e+03,9.516210e-01
4.029730e+03,9.072500e-01
4.029770e+03,7.966770e-01
4.029780e+03,7.888010e-01
4.029790e+03,8.019170e-01
4.029830e+03,9.126940e-01
4.029860e+03,9.539860e-01
4.029920e+03,9.821070e-01
4.030150e+03,9.968610e-01
4.030560e+03,9.920250e-01
4.031050e+03,9.971140e-01
4.031270e+03,9.835820e-01
4.031330e+03,9.555840e-01
4.031360e+03,9.134460e-01
4.031390e+03,8.411410e-01
4.031400e+03,8.273350e-01
4.031410e+03,8.303190e-01
4.031460e+03,9.364920e-01
4.031500e+03,9.714080e-01
4.031600e+03,9.919910e-01
4.032520e+03,9.970050e-01
4.032600e+03,9.836990e-01
4.032640e+03,9.689820e-01
4.032710e+03,9.944490e-01
4.033680e+03,9.951030e-01
4.034470e+03,9.950590e-01
4.034540e+03,9.816330e-01
4.034630e+03,9.977200e-01
4.036390e+03,9.942400e-01
4.036460e+03,9.947310e-01
4.039200e+03,9.971610e-01
4.039250e+03,9.962870e-01
4.039970e+03,9.948850e-01
4.039990e+03,9.907190e-01
4.040000e+03,1.000000e+00
4.040010e+03,9.903390e-01
4.040200e+03,9.995730e-01
4.043310e+03,9.933440e-01
4.043360e+03,9.915920e-01
4.043580e+03,9.847470e-01
4.043660e+03,9.622130e-01
4.043700e+03,9.264460e-01
4.043720e+03,8.895070e-01
