T,v
4.000010e+03,1.000000e+00
4.060260e+03,9.951310e-01
4.359010e+03,9.955850e-01
4.360130e+03,9.957390e-01
4.361440e+03,9.950140e-01
4.362630e+03,9.951440e-01
4.363100e+03,9.956100e-01
4.363810e+03,9.949380e-01
4.364560e+03,9.961700e-01
4.364620e+03,9.944530e-01
4.364970e+03,9.955270e-01
4.365090e+03,9.966250e-01
4.366020e+03,9.940290e-01
4.366070e+03,9.909660e-01
4.366240e+03,9.958990e-01
4.367260e+03,9.951960e-01
4.367360e+03,9.925730e-01
4.367460e+03,9.930640e-01
4.367500e+03,9.865120e-01
4.367600e+03,9.985650e-01
4.368390e+03,9.943350e-01
4.368480e+03,9.915180e-01
4.368790e+03,9.989870e-01
4.368900e+03,9.883500e-01
4.368930e+03,9.847240e-01
4.369010e+03,9.980310e-01
4.369510e+03,9.928630e-01
4.369600e+03,9.933650e-01
4.370250e+03,9.976420e-01
4.370320e+03,9.832630e-01
4.370350e+03,9.840670e-01
4.370440e+03,9.980700e-01
4.370620e+03,9.896130e-01
4.370700e+03,9.935560e-01
4.371580e+03,9.983880e-01
4.371690e+03,9.861250e-01
4.371740e+03,9.636090e-01
4.371800e+03,9.922330e-01
4.372440e+03,9.995790e-01
4.372760e+03,9.932090e-01
4.372830e+03,9.871580e-01
4.372970e+03,9.981950e-01
4.373090e+03,9.873300e-01
4.373120e+03,9.714410e-01
4.373190e+03,9.954600e-01
4.373810e+03,9.943970e-01
4.373880e+03,9.856620e-01
4.374000e+03,9.987190e-01
4.374440e+03,9.928520e-01
4.374500e+03,9.671210e-01
4.374550e+03,9.926680e-01
4.374840e+03,9.957580e-01
4.374920e+03,9.848650e-01
4.375040e+03,9.983810e-01
4.375790e+03,9.928220e-01
4.375830e+03,9.769260e-01
4.375860e+03,9.593360e-01
4.375900e+03,9.804460e-01
4.375970e+03,9.874370e-01
4.376130e+03,9.986130e-01
4.376910e+03,9.927880e-01
4.376970e+03,9.849950e-01
4.377080e+03,9.962990e-01
4.377160e+03,9.846230e-01
4.377200e+03,9.543320e-01
4.377260e+03,9.908390e-01
4.377610e+03,9.993050e-01
4.377920e+03,9.917370e-01
4.377970e+03,9.852210e-01
4.378090e+03,9.985030e-01
4.378470e+03,9.913150e-01
4.378510e+03,9.695910e-01
4.378530e+03,9.489200e-01
4.378550e+03,9.598020e-01
4.378580e+03,9.852260e-01
4.378700e+03,9.977100e-01
4.378910e+03,9.914070e-01
4.378960e+03,9.856280e-01
4.379080e+03,9.984190e-01
4.379770e+03,9.929170e-01
4.379820e+03,9.730690e-01
4.379850e+03,9.385470e-01
4.379870e+03,9.511750e-01
4.379900e+03,9.730050e-01
4.380000e+03,1.000000e+00
4.380840e+03,9.934870e-01
4.380900e+03,9.868090e-01
4.381030e+03,9.958150e-01
4.381110e+03,9.819660e-01
4.381140e+03,9.512940e-01
4.381160e+03,9.320530e-01
4.381200e+03,9.777110e-01
4.381260e+03,9.946010e-01
4.381790e+03,9.942250e-01
4.381850e+03,9.888450e-01
4.382030e+03,9.989120e-01
4.382370e+03,9.908850e-01
4.382410e+03,9.733490e-01
4.382450e+03,9.230500e-01
4.382470e+03,9.479890e-01
4.382500e+03,9.806890e-01
4.382580e+03,9.956130e-01
4.382750e+03,9.893970e-01
4.383080e+03,9.992780e-01
4.383620e+03,9.918790e-01
4.383670e+03,9.746440e-01
4.383700e+03,9.459370e-01
4.383720e+03,9.140210e-01
4.383730e+03,9.096080e-01
4.383770e+03,9.702450e-01
4.383820e+03,9.913780e-01
4.384390e+03,9.991850e-01
4.384630e+03,9.945010e-01
4.384900e+03,9.910230e-01
4.384950e+03,9.688630e-01
4.384990e+03,9.040030e-01
4.385000e+03,9.094470e-01
4.385030e+03,9.636740e-01
4.385070e+03,9.879040e-01
4.385290e+03,9.981420e-01
4.385540e+03,9.970380e-01
4.386130e+03,9.929830e-01
4.386190e+03,9.746990e-01
4.386210e+03,9.522930e-01
4.386240e+03,8.937260e-01
4.386250e+03,8.985200e-01
4.386280e+03,9.582260e-01
4.386310e+03,9.815350e-01
4.386530e+03,9.983470e-01
4.387370e+03,9.916590e-01
4.387420e+03,9.766160e-01
4.387450e+03,9.407580e-01
4.387470e+03,8.924520e-01
4.387480e+03,8.810470e-01
4.387490e+03,8.935610e-01
4.387510e+03,9.416950e-01
4.387540e+03,9.768650e-01
4.387620e+03,9.947010e-01
4.388560e+03,9.938980e-01
4.388640e+03,9.758330e-01
4.388670e+03,9.410740e-01
4.388700e+03,8.712620e-01
4.388710e+03,8.769590e-01
4.388740e+03,9.484530e-01
4.388770e+03,9.773040e-01
4.388870e+03,9.923170e-01
4.389680e+03,9.973770e-01
4.389830e+03,9.830620e-01
4.389860e+03,9.650520e-01
