T,v
4.060000e+03,1.000000e+00
7.678620e+03,9.968170e-01
7.692380e+03,9.953940e-01
7.692410e+03,9.869800e-01
7.692460e+03,9.991420e-01
7.705990e+03,9.955940e-01
7.706010e+03,9.856480e-01
7.706030e+03,9.644800e-01
7.706060e+03,9.923350e-01
7.706300e+03,9.998980e-01
7.719450e+03,9.958480e-01
7.719480e+03,9.865990e-01
7.719490e+03,9.762720e-01
7.719510e+03,9.282910e-01
7.719520e+03,9.262920e-01
7.719540e+03,9.746240e-01
7.719570e+03,9.940430e-01
7.721260e+03,9.999940e-01
7.732770e+03,9.947580e-01
7.732810e+03,9.832640e-01
7.732830e+03,9.570090e-01
7.732840e+03,9.224290e-01
7.732850e+03,8.707970e-01
7.732860e+03,8.466420e-01
7.732870e+03,8.830190e-01
7.732880e+03,9.326630e-01
7.732890e+03,9.622930e-01
7.732910e+03,9.847050e-01
7.733010e+03,9.981730e-01
7.745930e+03,9.946940e-01
7.745990e+03,9.819210e-01
7.746010e+03,9.654090e-01
7.746020e+03,9.476730e-01
7.746030e+03,9.143330e-01
7.746040e+03,8.518580e-01
7.746050e+03,7.653910e-01
7.746060e+03,7.255640e-01
7.746070e+03,7.815780e-01
7.746080e+03,8.667620e-01
7.746090e+03,9.226320e-01
7.746100e+03,9.519970e-01
7.746120e+03,9.770590e-01
7.746190e+03,9.948490e-01
7.758620e+03,9.969200e-01
7.758980e+03,9.906350e-01
7.759040e+03,9.707380e-01
7.759060e+03,9.477740e-01
7.759070e+03,9.251810e-01
7.759080e+03,8.858560e-01
7.759090e+03,8.145170e-01
7.759110e+03,5.831820e-01
7.759120e+03,5.736690e-01
7.759130e+03,6.801460e-01
7.759140e+03,8.010860e-01
7.759150e+03,8.783430e-01
7.759160e+03,9.210010e-01
7.759180e+03,9.600940e-01
7.759220e+03,9.842950e-01
7.759410e+03,9.979880e-01
7.766970e+03,9.953610e-01
7.767000e+03,9.915880e-01
7.767110e+03,9.998440e-01
7.768680e+03,9.971110e-01
7.768710e+03,9.870680e-01
7.768760e+03,9.992120e-01
7.771810e+03,9.935120e-01
7.771920e+03,9.741710e-01
7.771950e+03,9.517830e-01
7.771970e+03,9.165170e-01
7.771980e+03,8.833050e-01
7.771990e+03,8.281330e-01
7.772000e+03,7.335590e-01
7.772020e+03,4.307390e-01
7.772030e+03,3.809750e-01
7.772040e+03,4.766830e-01
7.772050e+03,6.407140e-01
7.772060e+03,7.712120e-01
7.772070e+03,8.501220e-01
7.772080e+03,8.963420e-01
7.772100e+03,9.430250e-01
7.772140e+03,9.756700e-01
7.772260e+03,9.942350e-01
7.775150e+03,9.959850e-01
7.775190e+03,9.697780e-01
7.775220e+03,9.950620e-01
7.776880e+03,9.965550e-01
7.776900e+03,9.886490e-01
7.776920e+03,9.662270e-01
7.776960e+03,9.959140e-01
7.783170e+03,9.955460e-01
7.783200e+03,9.829550e-01
7.783210e+03,9.668720e-01
7.783220e+03,9.397760e-01
7.783230e+03,9.272550e-01
7.783250e+03,9.733370e-01
7.783270e+03,9.915170e-01
7.783530e+03,9.994990e-01
7.784560e+03,9.906600e-01
7.784660e+03,9.725630e-01
7.784700e+03,9.464790e-01
7.784720e+03,9.172160e-01
7.784730e+03,8.930520e-01
7.784740e+03,8.572610e-01
7.784750e+03,8.019620e-01
7.784760e+03,7.134930e-01
7.784770e+03,5.743980e-01
7.784780e+03,3.932030e-01
7.784790e+03,2.531020e-01
7.784800e+03,2.342320e-01
7.784810e+03,3.447150e-01
7.784820e+03,5.254960e-01
7.784830e+03,6.798670e-01
7.784840e+03,7.808220e-01
7.784850e+03,8.436150e-01
7.784860e+03,8.836960e-01
